,Dataset,Column,Algorithm,Comparisons,deletions_val_distStatic,runs_val_distStatic,deletions_comp_distStatic,runs_comp_distStatic,arr_len,introsort,insertion_sort,merge_sort,timsort,quick_sort,selection_sort
1438,Tags,CompetitionCount,timsort,6719,34,9,112,39,806,1000000000,122169,7842,6719,1000000000,1000000000
1439,Tags,KernelCount,merge_sort,7842,31,18,131,39,806,1000000000,220644,7842,8785,1000000000,1000000000
1440,Clustering_gmm (2),Weight,merge_sort,4488,29,17,128,39,500,1000000000,64224,4488,6313,1000000000,1000000000
1441,Clustering_gmm (2),Height,merge_sort,4488,29,19,127,39,500,1000000000,65477,4488,6297,1000000000,1000000000
1442,final_data,year,insertion_sort,1001,0,0,39,39,1002,1000000000,1001,9998,5980,1000000000,1000000000
1443,final_data,games_played,merge_sort,9998,30,17,131,39,1002,1000000000,301432,9998,13159,1000000000,1000000000
1444,final_data,fgm,merge_sort,9998,28,19,125,39,1002,1000000000,251440,9998,13579,1000000000,1000000000
1445,final_data,fga,merge_sort,9998,30,19,121,39,1002,1000000000,236333,9998,13494,1000000000,1000000000
1446,final_data,fg3m,merge_sort,9998,28,18,123,39,1002,1000000000,151268,9998,13070,1000000000,1000000000
1447,final_data,fg3a,merge_sort,9998,29,21,116,39,1002,1000000000,156023,9998,13317,1000000000,1000000000
1448,final_data,ftm,merge_sort,9998,33,19,124,39,1002,1000000000,247961,9998,13511,1000000000,1000000000
1449,final_data,fta,merge_sort,9998,31,18,122,39,1002,1000000000,252382,9998,13642,1000000000,1000000000
1450,final_data,oreb,merge_sort,9998,31,19,125,39,1002,1000000000,302061,9998,13844,1000000000,1000000000
1451,final_data,dreb,merge_sort,9998,28,19,115,39,1002,1000000000,223430,9998,13754,1000000000,1000000000
1452,final_data,reb,merge_sort,9998,28,19,117,39,1002,1000000000,248130,9998,13788,1000000000,1000000000
1453,final_data,ast,merge_sort,9998,29,18,119,39,1002,1000000000,227047,9998,13572,1000000000,1000000000
1454,final_data,stl,merge_sort,9998,30,16,129,39,1002,1000000000,270531,9998,13832,1000000000,1000000000
1455,final_data,blk,merge_sort,9998,31,17,128,39,1002,1000000000,259472,9998,13732,1000000000,1000000000
1456,final_data,turnover,merge_sort,9998,32,19,131,39,1002,1000000000,263982,9998,13699,1000000000,1000000000
1457,final_data,pf,merge_sort,9998,33,18,128,39,1002,1000000000,299979,9998,13890,1000000000,1000000000
1458,final_data,pts,merge_sort,9998,29,20,122,39,1002,1000000000,232368,9998,13511,1000000000,1000000000
1459,final_data,fg_pct,merge_sort,9998,30,20,123,39,1002,1000000000,291590,9998,13762,1000000000,1000000000
1460,final_data,fg3_pct,merge_sort,9998,27,16,121,39,1002,1000000000,179282,9998,13203,1000000000,1000000000
1461,final_data,ft_pct,merge_sort,9998,32,21,127,39,1002,1000000000,221651,9998,13325,1000000000,1000000000
1462,only_road_accidents_data_month2,YEAR,merge_sort,4388,31,28,128,39,490,1000000000,54634,4388,5419,1000000000,1000000000
